board_pos,w_safety,b_safety,w_central,b_central,w_rating,b_rating,turn,square_0,square_1,square_2,square_3,square_4,square_5,square_6,square_7,square_8,square_9,square_10,square_11,square_12,square_13,square_14,square_15,square_16,square_17,square_18,square_19,square_20,square_21,square_22,square_23,square_24,square_25,square_26,square_27,square_28,square_29,square_30,square_31,square_32,square_33,square_34,square_35,square_36,square_37,square_38,square_39,square_40,square_41,square_42,square_43,square_44,square_45,square_46,square_47,square_48,square_49,square_50,square_51,square_52,square_53,square_54,square_55,square_56,square_57,square_58,square_59,square_60,square_61,square_62,square_63,1,2,3,4,5,6,7,8,a,b,c,d,e,f,g,h,columns_moved,ranks_moved,promote_q,promote_r,promote_b,promote_n
rnb1kbnr/pp2pppp/8/2pq4/8/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 4,7,7,1,4,1861,1874,0,2,3,4,0,6,4,3,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0,7,0,7,7,7,8,9,10,11,12,10,9,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
r3kbnr/pp1n1pp1/2p1bq1p/4p3/4P3/2NBBN2/PPP2PPP/R2Q1RK1 b kq - 3 9,1,10,5,4,1537,1618,1,2,0,0,0,6,4,3,2,1,1,0,3,0,1,1,0,0,0,1,0,4,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,9,10,10,9,0,0,7,7,7,0,0,7,7,7,8,0,0,11,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
6k1/1pp1Br1p/6pQ/3P4/p1P5/5P2/Pq2n2P/4R1K1 w - - 3 28,8,8,3,2,2010,2051,0,0,0,0,0,0,0,6,0,0,1,1,0,10,2,0,1,0,0,0,0,0,0,1,11,0,0,0,7,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,7,5,0,0,3,0,0,7,0,0,0,0,8,0,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
rn3rk1/p1p1qpp1/1p1pp2p/8/2PPb3/4PN2/PP2BPPP/R2Q1RK1 w - - 0 12,1,2,4,3,1982,1728,0,2,3,0,0,0,2,6,0,1,0,1,0,5,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,7,9,0,0,7,7,0,0,10,7,7,7,8,0,0,11,0,8,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
8/1k1b1p2/1PB1p1p1/p1P1P1P1/K4P2/8/P2n3r/8 b - - 0 43,8,14,4,2,1705,1646,1,0,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,7,10,0,1,0,1,0,1,0,7,0,7,0,7,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r1bqk2r/pp3pp1/2nb1n1p/2p5/2Bp4/2P2N2/PP3PPP/RNBQ1RK1 w kq - 0 9,1,13,3,5,1645,1689,0,2,0,4,5,6,0,0,2,1,1,0,0,0,1,1,0,0,0,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,7,0,0,9,0,0,7,7,0,0,0,7,7,7,8,9,10,11,0,8,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
5rk1/1pp1q2p/p2p2pQ/3Pn3/4P3/2N4R/PP4P1/6K1 b - - 1 31,13,8,4,2,2240,2255,1,0,0,0,0,0,2,6,0,0,1,1,0,5,0,0,1,1,0,0,1,0,0,1,11,0,0,0,7,3,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,8,7,7,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1r6/p1k1n2p/Bbp5/3p1p2/P3p3/5R2/6PP/1R5K w - - 0 31,1,8,0,5,2150,2180,0,0,2,0,0,0,0,0,0,1,0,6,0,3,0,0,1,10,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,7,0,8,0,0,0,0,0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R7/1P6/1r1N4/8/7k/5K2/8/8 b - - 2 66,19,13,1,0,1910,1757,1,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
r1b1qrk1/ppp2pbp/2np1np1/8/3p4/2PBPNB1/PP1N1PPP/R2Q1RK1 w - - 0 10,1,2,3,5,1459,1508,0,2,0,4,0,5,2,6,0,1,1,1,0,0,1,4,1,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,10,7,9,10,0,7,7,0,9,0,7,7,7,8,0,0,11,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
r2q1rk1/5ppp/p1p5/8/4NK2/2p5/P1P4P/b7 w - - 0 29,19,1,3,2,989,1411,0,2,0,0,5,0,2,6,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,1,0,0,0,0,0,7,0,7,0,0,0,0,7,4,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,4,1,2,0,1395,1107,1,2,3,4,5,6,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
r1b1kbr1/pppqpn1p/n2p1p2/8/4PP1p/3B2P1/PPPPN2P/RNB2KR1 b q - 5 10,8,3,5,1,1500,1500,1,2,0,4,0,6,4,2,0,1,1,1,5,1,3,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,0,0,10,0,0,7,0,7,7,7,7,9,0,0,7,8,9,10,0,0,12,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0
8/6bk/q6p/6p1/4KPP1/7P/8/2r5 w - - 1 53,19,2,4,2,1483,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,7,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rnbqkb1Q/ppp1np1p/3p2p1/8/8/1P2P3/P1PP1PPP/RNB1KBNR b KQq - 1 7,2,8,2,2,969,911,1,2,3,4,5,6,4,0,11,1,1,1,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,7,7,0,7,7,7,8,9,10,0,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0
r3kb1r/ppp1Qppp/2p5/2n2b2/8/2N2N2/PPPP1PPP/R1B1K2R b KQkq - 0 9,7,13,4,2,1057,997,1,2,0,0,0,6,4,0,2,1,1,1,0,11,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,7,7,7,7,0,7,7,7,8,0,10,0,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
