board_pos,w_safety,b_safety,w_central,b_central,w_rating,b_rating,turn,square_0,square_1,square_2,square_3,square_4,square_5,square_6,square_7,square_8,square_9,square_10,square_11,square_12,square_13,square_14,square_15,square_16,square_17,square_18,square_19,square_20,square_21,square_22,square_23,square_24,square_25,square_26,square_27,square_28,square_29,square_30,square_31,square_32,square_33,square_34,square_35,square_36,square_37,square_38,square_39,square_40,square_41,square_42,square_43,square_44,square_45,square_46,square_47,square_48,square_49,square_50,square_51,square_52,square_53,square_54,square_55,square_56,square_57,square_58,square_59,square_60,square_61,square_62,square_63,1,2,3,4,5,6,7,8,a,b,c,d,e,f,g,h,columns_moved,ranks_moved,promote_q,promote_r,promote_b,promote_n
rnbqk1nr/pp1p1ppp/2p5/2bPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,7,4,3,3,1479,1455,0,2,3,4,5,6,0,3,2,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
r2q1rk1/4bppp/p1n2n2/1p1p1P2/2p5/1P1B4/PBP1NPPP/R2QR1K1 w - - 0 14,1,1,3,5,1613,1654,0,2,0,0,5,0,2,6,0,0,0,0,0,4,1,1,1,1,0,3,0,0,3,0,0,0,1,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,7,0,10,0,0,0,0,7,10,7,0,9,7,7,7,8,0,0,11,8,0,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
r1b1k1nr/1q1n3p/p3R1p1/2Pp1p2/1P3P1B/P1NB4/3Q2PP/5RK1 b kq - 0 23,4,13,3,4,1569,1581,1,2,0,4,0,6,0,3,2,0,5,0,3,0,0,0,1,1,0,0,0,8,0,1,0,0,0,7,1,0,1,0,0,0,7,0,0,0,7,0,10,7,0,9,10,0,0,0,0,0,0,0,11,0,0,7,7,0,0,0,0,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r2qkbnr/pp2pppp/2n5/1B1p4/6b1/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 6,8,4,3,5,1380,1431,0,2,0,0,5,6,4,3,2,1,1,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,9,0,0,7,7,7,0,0,7,7,7,8,9,10,11,12,0,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,4,4,4,3,1659,1664,0,2,0,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0
4r1k1/Qpq2pp1/7p/2Pp4/8/1NP5/PP3PPb/4RK2 b - - 1 22,7,2,3,3,1249,1267,1,0,0,0,0,2,0,6,0,11,1,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,7,7,0,0,0,7,7,4,0,0,0,0,8,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0
r2q1rk1/2pb1ppp/p3p3/1p1PP3/1Q6/2NP1N2/PP3PPP/R2B1RK1 b - - 0 18,1,1,6,1,1300,1201,1,2,0,0,5,0,2,6,0,0,0,1,4,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,7,7,0,0,0,0,11,0,0,0,0,0,0,0,0,9,7,0,9,0,0,7,7,0,0,0,7,7,7,8,0,0,10,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r3kb1r/ppq1nppp/2p1p1b1/4P1B1/2B5/2N5/PPP1QPPP/3R1RK1 b kq - 6 12,1,8,5,3,2908,2839,1,2,0,0,0,6,4,0,2,1,1,5,0,3,1,1,1,0,0,1,0,1,0,4,0,0,0,0,0,7,0,10,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,7,7,7,0,11,7,7,7,0,0,0,8,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
r1bqk1nr/p2n3p/1pp1p1p1/2P2p2/3P1Q2/5N2/P1P2PPP/R1B1KB1R w KQkq - 0 11,10,11,4,3,1248,1182,0,2,0,4,5,6,0,3,2,1,0,0,3,0,0,0,1,0,1,1,0,1,0,1,0,0,0,7,0,0,1,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,9,0,0,7,0,7,0,0,7,7,7,8,0,10,0,12,10,0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0
3r1rk1/p1p1nppp/7B/8/2PPP1Q1/2q2KP1/P6P/8 w - - 2 25,13,1,5,2,2033,2033,0,0,0,0,2,0,2,6,0,1,0,1,0,3,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,7,7,0,11,0,0,0,5,0,0,12,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
2nrr1k1/pp4pp/6p1/2bPp3/4P3/5N1P/P4PP1/R2Q1RK1 w - - 7 22,2,7,5,4,1611,1633,0,0,0,3,2,2,0,6,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,7,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,7,7,0,0,0,0,7,7,0,8,0,0,11,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
r4rk1/1bqnbppp/pp1ppn2/8/2PNP3/2N3P1/PP3P1P/R1BQRBK1 b - - 2 13,2,1,5,3,2117,2143,1,2,0,0,0,0,2,6,0,0,4,5,3,4,1,1,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,0,0,0,0,0,9,0,0,0,7,0,7,7,0,0,0,7,0,7,8,0,10,11,8,10,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
rnbqk2r/ppp1bp2/3p3p/4pPpP/1PP3P1/3Pn3/P3B3/RN1QK1NR b KQkq - 0 11,14,5,2,4,1115,1111,1,2,3,4,5,6,0,0,2,1,1,1,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,1,7,0,7,7,0,0,0,7,0,0,0,0,7,3,0,0,0,7,0,0,0,10,0,0,0,8,9,0,11,12,0,9,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,4,1,3,0,1888,1869,1,2,3,4,5,6,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,7,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
2r2rk1/pp3ppp/1q2bn2/2bpN3/N4Q2/6P1/PP2PPBP/R2R2K1 b - - 6 16,2,1,5,4,1932,2005,1,0,0,2,0,0,2,6,0,1,1,0,0,0,1,1,1,0,5,0,0,4,3,0,0,0,0,4,1,9,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,7,7,0,0,7,7,10,7,8,0,0,8,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0
r3r1k1/1p3ppp/2pb4/p2N4/2p1P1Q1/7P/PqP2PP1/R3R1K1 w - - 0 18,2,1,4,4,1484,1478,0,2,0,0,0,2,0,6,0,0,1,0,0,0,1,1,1,0,0,1,4,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,7,0,11,0,0,0,0,0,0,0,0,7,7,5,7,0,0,7,7,0,8,0,0,0,8,0,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
1r4k1/p4p1p/4P2p/3pP3/6Pb/2PQ3P/q1rN4/1N3RK1 b - - 0 25,11,7,4,3,1545,1554,1,0,2,0,0,0,0,6,0,1,0,0,0,0,1,0,1,0,0,0,0,7,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,7,4,0,0,7,11,0,0,0,7,5,0,2,9,0,0,0,0,0,9,0,0,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r2q1rk1/pB3ppp/1n2b3/2b5/8/4PN2/PPPBQ1PP/R3K2R b KQ - 0 16,14,1,4,2,1082,1137,1,2,0,0,5,0,2,6,0,1,10,0,0,0,1,1,1,0,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,7,7,7,10,11,0,7,7,8,0,0,0,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r2qk2r/pp1bnppp/2nbp3/2pp2P1/Q6P/2PP4/PP2PPB1/R1B1KNNR b KQkq - 0 10,2,5,3,5,2285,2289,1,2,0,0,5,6,0,0,2,1,1,0,4,3,1,1,1,0,0,3,4,1,0,0,0,0,0,1,1,0,0,7,0,11,0,0,0,0,0,0,7,0,0,7,7,0,0,0,0,7,7,0,0,7,7,10,0,8,0,10,0,12,9,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
rnbqkb1r/pp3pp1/5n1p/3p4/3PpN2/1BP5/PP3PPP/RNBQK2R b KQkq - 1 8,10,10,4,4,1474,1362,1,2,3,4,5,6,4,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,9,0,0,0,10,7,0,0,0,0,0,7,7,0,0,0,7,7,7,8,9,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0
rn1qkb1r/ppp1pppp/8/3N1b2/3P1B2/7P/PP2PPP1/R2QKBNR b KQkq - 0 7,4,7,4,2,1550,1603,1,2,3,0,5,6,4,0,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,7,7,7,0,0,7,7,7,0,8,0,0,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
rn2kb1r/pp2pp2/2pq1n1p/6p1/6b1/2NP1NPP/PP2PPB1/R1BQ1RK1 b kq - 0 9,3,7,4,4,2014,2060,1,2,3,0,0,6,4,0,2,1,1,0,0,1,1,0,0,0,0,1,5,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,9,7,0,9,7,7,7,7,0,0,7,7,10,0,8,0,10,11,0,8,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
r1bqk1nr/pppp1ppp/2n5/8/1b2P3/8/PPP2PPP/RNBQKBNR w KQkq - 3 5,10,7,3,2,1618,1624,0,2,0,4,5,6,0,3,2,1,1,1,1,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,7,7,7,8,9,10,11,12,10,9,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
8/5k1q/7P/6P1/6K1/8/8/8 b - - 2 59,8,19,0,1,2245,2277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
r1b2r2/ppppq1k1/2n1p1pb/3PPp1p/8/1BPQ1N2/PP3PPP/R4RK1 b - - 0 16,1,3,6,4,1943,1939,1,2,0,4,0,0,2,0,0,1,1,1,1,5,0,6,0,0,0,3,0,1,0,1,4,0,0,0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,10,7,11,0,9,0,0,7,7,0,0,0,7,7,7,8,0,0,0,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r2qkb1r/1ppbpppp/p1n2n2/3p4/3P4/2PBPN2/PP1N1PPP/R1BQK2R b KQkq - 2 6,5,4,4,5,1329,1347,1,2,0,0,5,6,4,0,2,0,1,1,4,1,1,1,1,1,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,10,7,9,0,0,7,7,0,9,0,7,7,7,8,0,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
r4rk1/1b1pppbp/1qn3p1/2p1P3/pp3PP1/4P2N/PPPBQ1BP/1K1R3R w - - 0 16,1,2,5,2,2049,2102,0,2,0,0,0,0,2,6,0,0,4,0,1,1,1,4,1,0,5,3,0,0,0,1,0,0,0,1,0,7,0,0,0,1,1,0,0,0,7,7,0,0,0,0,0,7,0,0,9,7,7,7,10,11,0,10,7,0,12,0,8,0,0,0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0
r2r2k1/pp4pp/n1pqpn2/8/8/5N2/PPP1QPPP/R1B2RK1 w - - 4 14,1,7,3,4,2160,2210,0,2,0,0,2,0,0,6,0,1,1,0,0,0,0,1,1,3,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,7,7,0,11,7,7,7,8,0,10,0,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
4r3/p5bk/1p1R3p/5Np1/3Nn3/4P1P1/P5P1/6K1 w - - 8 31,13,2,3,4,1684,1695,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,6,0,1,0,8,0,0,0,1,0,0,0,0,0,9,1,0,0,0,0,9,3,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0
r1b1k1nr/5ppp/p1p1p3/1q6/3pPB2/3P2N1/PP4PP/R2Q1RK1 b kq - 0 16,7,8,4,3,2106,2122,1,2,0,4,0,6,0,3,2,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,7,10,0,0,0,0,0,7,0,0,9,0,7,7,0,0,0,0,7,7,8,0,0,11,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-1.0,0.0,0.0,0.0,0.0
4rrk1/pbq1npp1/1p2p3/3p2P1/3P1B2/2P2B2/PP4K1/RN1QR3 b - - 0 20,16,7,5,4,1403,1322,1,0,0,0,0,2,2,6,0,1,4,5,0,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,7,0,10,0,0,0,0,7,0,0,10,0,0,7,7,0,0,0,0,12,0,8,9,0,11,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0
1r1qk2r/p2bb1pp/2pp1n2/4p3/4B3/2P1PP2/PP4PP/RNBQK2R b KQk - 0 12,9,11,4,5,1100,1022,1,0,2,0,5,6,0,0,2,1,0,0,4,4,0,1,1,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,7,7,0,0,7,7,0,0,0,0,7,7,8,9,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0
r1b1kbnr/pp4pp/3q4/4p3/2PpQB2/1N1P4/P5PP/R3KB1R b KQkq - 1 14,14,16,5,5,1952,1965,1,2,0,4,0,6,4,3,2,1,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,11,10,0,0,0,9,0,7,0,0,0,0,7,0,0,0,0,0,7,7,8,0,0,0,12,10,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0
rn3rk1/pp3p1p/6p1/q3bb1P/4n3/2N5/PP1BB3/R2QK1NR w KQ - 1 18,19,2,2,6,1721,1748,0,2,3,0,0,0,2,6,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,5,0,0,0,4,4,0,7,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,7,7,0,10,10,0,0,0,8,0,0,11,12,0,9,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
r1bqr1k1/pppn1pbp/5np1/4p3/4P3/2N1BN1P/PPP1BPP1/R2Q1RK1 w - - 6 10,2,2,5,5,2757,2812,0,2,0,4,5,2,0,6,0,1,1,1,3,0,1,4,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,10,9,0,7,7,7,7,0,10,7,7,0,8,0,0,11,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0
r7/pbpRp1k1/1p2p1pp/4N3/5P2/1P4P1/1PP4P/2K5 b - - 2 22,7,7,4,2,2313,2249,1,2,0,0,0,0,0,0,0,1,4,1,8,1,0,6,0,0,1,0,0,1,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0,0,7,7,0,0,0,0,7,0,0,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
rn2k2r/1bqp1ppp/p2b1n2/4p3/4P3/1B3N2/PBPPNPPP/R2QK2R b KQkq - 1 12,4,4,4,5,1509,1503,1,2,3,0,0,6,0,0,2,0,4,5,1,0,1,1,1,1,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,9,0,0,7,10,7,7,9,7,7,7,8,0,0,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,4,4,3,2,1402,1338,1,2,3,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,7,0,7,0,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
8/7p/pp1k2p1/5p2/1K6/6P1/P5PP/8 b - - 1 36,19,19,0,3,1474,1488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
rn2kb1r/2p1pppb/p4P1p/1p2q3/2p1P2P/2N2Q2/PP3P2/R1B1KB1R b KQkq - 0 13,10,7,3,4,1122,1214,1,2,3,0,0,6,4,0,2,0,0,1,0,1,1,1,4,1,0,0,0,0,7,0,1,0,1,0,0,5,0,0,0,0,0,1,0,7,0,0,7,0,0,9,0,0,11,0,0,7,7,0,0,0,7,0,0,8,0,10,0,12,10,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
6k1/ppq2p2/2p2r1p/4r3/2PP1pP1/1P3K2/P3B3/R2QR3 w - - 0 26,13,8,5,4,1872,1925,0,0,0,0,0,0,0,6,0,1,1,5,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,7,7,0,1,7,0,0,7,0,0,0,12,0,0,7,0,0,0,10,0,0,0,8,0,0,11,8,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,4,4,3,3,1868,1870,0,2,3,4,5,6,4,3,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,7,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
r2q4/pbp1n1k1/1pn2r1p/5p2/2BP1Pp1/1N2B3/PP4PP/R2Q1RK1 w - - 1 19,4,5,4,4,933,949,0,2,0,0,5,0,0,0,0,1,4,1,0,3,0,6,0,0,1,3,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,10,7,0,7,1,0,0,9,0,0,10,0,0,0,7,7,0,0,0,0,7,7,8,0,0,11,0,8,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
r2qkb1r/ppp2ppp/2n1p1n1/5b2/7P/2NPB1Q1/PPP2PP1/2KR2NR b kq - 0 11,2,8,4,4,2096,2103,1,2,0,0,5,6,4,0,2,1,1,1,0,0,1,1,1,0,0,3,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,9,7,10,0,11,0,7,7,7,0,0,7,7,0,0,0,12,8,0,0,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
r2qk2r/ppp2ppp/2nbbn2/3pp1P1/8/1P2P2P/PBPP1P2/RN1QKBNR w KQkq - 1 7,2,7,2,6,1930,1936,0,2,0,0,5,6,0,0,2,1,1,1,0,0,1,1,1,0,0,3,4,4,3,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,10,7,7,0,7,0,0,8,9,0,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
2R5/R4pk1/4p1pp/P7/8/6P1/5P1P/6K1 b - - 0 31,2,7,0,1,1538,1576,1,0,0,8,0,0,0,0,0,8,0,0,0,0,1,6,0,0,0,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
